Ticker,Description,Total Shares Outstanding,Shares Float,Relative Volume,Price,Volume,Market Capitalization,Change %,Post-market Volume,Pre-market Volume,Pre-market Gap %,Pre-market Change %,Pre-market Close,Technical Rating
CDZI,"Cadiz, Inc.",66586200.00000001,39990606.3408,0.71760161,4.5,156111,299637959.7430407,-3.64025696,9819,100,2.78372591,2.78372591,4.8,Buy
ICVX,"Icosavax, Inc.",41396000,28356715.356,0.62050168,7.23,60418,299292932.703013,3.7302726,3426,,,,,Buy
BIVI,BioVie Inc.,36070500,11415339.3465,1.06636189,8.29,146529,299024723,0,2316,,,,,Strong Buy
NAUT,"Nautilus Biotechnology, Inc.",124866000,45436240.08,0.52089515,2.39,28879,298430696,0.42016807,2509,,,,,Sell
AIRS,"AirSculpt Technologies, Inc.",56181689,11699555.825805,0.84511688,5.25,101460,296024772.7099236,0.19083969,3336,,,,,Buy
OLMA,"Olema Pharmaceuticals, Inc.",40631700,34548931.35150001,0.87685075,7.27,194363,295392789.85692537,10.65449011,3357,,,,,Strong Buy
PSTX,"Poseida Therapeutics, Inc.",86763500,54893964.9975,0.87604109,3.4,461544,294995819.5266273,0.59171598,17258,,,,,Neutral
MCBC,Macatawa Bank Corporation,34292300,26030804.8378,0.30745249,8.59,23076,294570797.2088167,-0.34802784,3636,,,,,Sell
RXT,"Rackspace Technology, Inc.",218165000,44301457.56,0.87776703,1.35,1400310,294522882.08633095,-2.87769784,135433,1110,2.15827338,4.31654676,1.45,Sell
MGTX,MeiraGTx Holdings plc,48726400,39089584.9664,0.59759915,6.03,56503,293820211.48469394,2.55102041,4762,,,,,Buy
FFIC,Flushing Financial Corporation,29488400,27716383.0672,0.48206015,9.96,129632,293704923.2394089,-1.87192118,15603,,,,,Sell
HNRG,Hallador Energy Company,32982600,22370085.6414,2.80912315,8.9,411493,293545191.21483374,13.81074169,17764,800,9.71867008,9.71867008,8.58,Strong Buy
SY,So-Young International Inc. - American Depository Shares,89496405.4964055,74091299.7219035,0.49243927,2.75,147978,293219008,-1.43369176,309,,,,,Strong Buy
VEL,"Velocity Financial, Inc.",32624800,19367092.6488,0.54263671,8.96,8032,292318097.13385826,0.78740157,552,,,,,Buy
DSKE,"Daseke, Inc.",45196800,37652956.9152,3.97257441,6.46,1077649,291971509.3933775,-14.43708609,57427,1875,4.90066225,-3.44370861,7.29,Strong Sell
